"03BAGLEG","LA BAGATELLE LEGUAN","","GUY",0,0,0,-58.4,6.9,"058°24'00''","06°54'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03BELVBK","BELLE VUE BACK W.C.D.","","GUY",0,0,2,-58.2167,6.7167,"058°13'00''","06°43'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03BELVFR","BELLE VUE FRONT W.B.D.","","GUY",0,0,1,-58.3333,6.8667,"058°20'00''","06°52'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03BOERAS","BOERASIRIE W.C.D","","GUY",0,0,1,-58.35,6.8167,"058°21'00''","06°49'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03CRANE","Crane","Crane","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03DEKENB","DE KINDEREN BACK W.C.D.","","GUY",0,0,2,-58.3167,6.8333,"058°19'00''","06°50'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03DEKENF","DE KINDEREN FRONT W.B.D.","","GUY",0,0,1,-58.3333,6.8667,"058°20'00''","06°52'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03FORTIL","FORT ISLAND ESSEQ RIVER","","GUY",0,0,0,-58.5,6.7833,"058°30'00''","06°47'00''","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03GOODSH","GOOD SHEPHERD W.B.D","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03GOODWK","GOOD SUCCESS WAKENAAM","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
"03HAGUBK","HAGUE BACK","","GUY",0,0,0,0,0,"","","R3","","","","","","","",,"","","","","","","","","","","",,,,,,,,,,,,,,"","","",,,,,,,"",,"","",""
